mysql> select * from rt2;
+---------------------+----------------+-----------+----------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+
| createdDate         | sequenceNumber | frameType | latitude | longitude | c1   | c2   | c3   | c4   | c5   | c6   | c7   | c8   | c9   | c10  | c11  | c12  |
+---------------------+----------------+-----------+----------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+
| 2014-08-06 11:14:55 |       12486097 |        19 | 49.83    | 353.01    |    0 |  867 |  838 |    0 |    0 |  938 |    0 |  487 |  969 |  948 |  453 |    0 |
| 2014-08-06 11:15:05 |       12486097 |        21 | 49.21    | 352.77    |    0 |  865 |  844 |    0 |    0 |  936 |    0 |  496 |  968 |  946 |  490 |    0 |
| 2014-08-06 11:15:15 |       12486097 |        22 | 48.6     | 352.53    |    0 |  863 |  848 |    0 |    0 |  938 |    0 |  506 |  968 |  946 |  405 |    0 |
| 2014-08-06 11:15:15 |       12486097 |        23 | 48.6     | 352.53    |    0 |  863 |  848 |    0 |    0 |  938 |    0 |  506 |  968 |  946 |  405 |    0 |
| 2014-08-06 11:15:15 |       12486098 |         0 | 48.59    | 352.53    |    0 |  861 |  854 |    0 |    0 |  939 |    0 |  517 |  967 |  946 |  396 |    0 |
| 2014-08-06 11:15:25 |       12486098 |         1 | 47.99    | 352.3     |    0 |  861 |  854 |    0 |    0 |  939 |    0 |  517 |  967 |  946 |  396 |    0 |
| 2014-08-06 11:15:30 |       12486098 |         2 | 47.7     | 352.19    |    0 |  858 |  859 |    0 |    0 |  938 |    0 |  525 |  966 |  945 |  457 |    0 |
| 2014-08-06 11:15:40 |       12486098 |         3 | 47.08    | 351.97    |    0 |  858 |  859 |    0 |    0 |  938 |    0 |  525 |  966 |  945 |  457 |    0 |
| 2014-08-06 11:15:40 |       12486098 |         4 | 47.08    | 351.96    |    0 |  856 |  865 |    0 |    0 |  938 |    0 |  534 |  966 |  944 |  462 |    0 |
| 2014-08-06 11:15:50 |       12486098 |         5 | 46.47    | 351.74    |    0 |  856 |  865 |    0 |    0 |  938 |    0 |  534 |  966 |  944 |  462 |    0 |
| 2014-08-06 11:15:50 |       12486098 |         7 | 46.46    | 351.74    |    0 |  854 |  869 |    0 |    0 |  938 |    0 |  543 |  965 |  944 |  427 |    0 |
| 2014-08-06 11:16:05 |       12486098 |         8 | 45.57    | 351.43    |    0 |  853 |  874 |    0 |    0 |  938 |    0 |  552 |  965 |  944 |  491 |    0 |
| 2014-08-06 11:16:05 |       12486098 |         9 | 45.56    | 351.42    |    0 |  853 |  874 |    0 |    0 |  938 |    0 |  552 |  965 |  944 |  491 |    0 |
| 2014-08-06 11:16:15 |       12486098 |        10 | 44.95    | 351.21    |    0 |  853 |  874 |    0 |    0 |  938 |    0 |  552 |  965 |  944 |  491 |    0 |
| 2014-08-06 11:16:15 |       12486098 |        11 | 44.94    | 351.21    |    0 |  853 |  874 |    0 |    0 |  938 |    0 |  552 |  965 |  944 |  491 |    0 |
| 2014-08-06 11:16:15 |       12486098 |        12 | 44.94    | 351.21    |    0 |  853 |  874 |    0 |    0 |  938 |    0 |  552 |  965 |  944 |  491 |    0 |
| 2014-08-06 11:16:25 |       12486098 |        13 | 44.34    | 351.01    |    0 |  853 |  874 |    0 |    0 |  938 |    0 |  552 |  965 |  944 |  491 |    0 |
| 2014-08-06 11:16:25 |       12486098 |        14 | 44.33    | 351       |    0 |  853 |  874 |    0 |    0 |  938 |    0 |  552 |  965 |  944 |  491 |    0 |
| 2014-08-06 11:16:40 |       12486098 |        15 | 43.43    | 350.7     |    0 |  853 |  874 |    0 |    0 |  938 |    0 |  552 |  965 |  944 |  491 |    0 |
